"","GID_2","NAME_2","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm2","pop_risk_UC_adm2","pop_risk_LC_adm2","total_pop"
"2359","NGA.20.35_1","Shanono","5_10","dip",0.731652712564547,0.755580382299811,0.706304081334997,6647.85763058429,6055.08941834763,7275.827799967,24773.3364257812
"2360","NGA.20.35_1","Shanono","10_15","dip",0.847642948766454,0.86469341187641,0.828859219775106,2816.84843178738,2501.61149405677,3164.1307999089,18488.4677734375
"2361","NGA.20.36_1","Sumaila","0_5","mea",0.772304446837972,0.801062393322748,0.740868732352559,19128.0435953121,16712.171847123,21768.8668734851,84007.1021575928
"2362","NGA.20.36_1","Sumaila","5_10","mea",0.92400844364194,0.935163903461021,0.911118894447412,5288.5854405097,4512.22810281554,6185.62565750064,69594.3825073242
"2363","NGA.20.36_1","Sumaila","10_15","mea",0.977855284589837,0.982148557936314,0.972549246069562,1093.02904621569,881.119686166326,1354.92693542216,49358.4598388672
"2364","NGA.20.36_1","Sumaila","0_5","dip",0.588622480486139,0.623980188480351,0.552366813893533,34558.633307138,31588.33471961,37604.3667943747,84007.1021575928
"2365","NGA.20.36_1","Sumaila","5_10","dip",0.735815214167656,0.76193373183378,0.707943034084046,18385.7770378317,16568.0749288511,20325.5241998834,69594.3825073242
"2366","NGA.20.36_1","Sumaila","10_15","dip",0.844458952018874,0.862855500517354,0.824094949147045,7677.26657007173,6769.24126983572,8682.40238797946,49358.4598388672
"2367","NGA.20.37_1","Takai","0_5","mea",0.767332885020355,0.797327634438743,0.734524146109078,13730.4888540169,11960.395247947,15666.6456846677,59013.4486999512
"2368","NGA.20.37_1","Takai","5_10","mea",0.92220557754433,0.933892162442227,0.908658176722666,3892.48875052768,3307.74374167988,4570.34075627098,50035.576171875
"2369","NGA.20.37_1","Takai","10_15","mea",0.977366898083553,0.981868684177121,0.971769547715337,801.307810652953,641.925487718077,999.47775596446,35404.2416992188
"2370","NGA.20.37_1","Takai","0_5","dip",0.587496454058162,0.624505639190946,0.549515066237789,24343.2568469866,22159.2171987261,26584.6695286772,59013.4486999512
"2371","NGA.20.37_1","Takai","5_10","dip",0.735554207060304,0.762918883195762,0.706261921647211,13231.697615966,11862.4902787716,14697.3539940012,50035.576171875
"2372","NGA.20.37_1","Takai","10_15","dip",0.844720976987563,0.863902895334215,0.82338571186777,5497.53606155086,4818.4147881513,6252.89494456894,35404.2416992188
